model,level,success_rate,time_avg,time_var,steps,mean_f1_agent_0,mean_similarity_agent_0,mean_redundancy_agent_0,std_f1_agent_0,std_similarity_agent_0,std_redundancy_agent_0,mean_f1_agent_1,mean_similarity_agent_1,mean_redundancy_agent_1,std_f1_agent_1,std_similarity_agent_1,std_redundancy_agent_1,initiate_collaboration,respond_collaboration,overall_collaboration
Qwen_Qwen3-0.6B_Qwen_Qwen3-0.6B,level_1,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5844606003599677,0.0,0.29223030017998386
Qwen_Qwen3-0.6B_Qwen_Qwen3-0.6B,level_3,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06668356341428043,0.0,0.033341781707140174
Qwen_Qwen3-0.6B_Qwen_Qwen3-0.6B,level_5,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0659436694435462,0.0,0.03297183472177306
Qwen_Qwen3-0.6B_Qwen_Qwen3-1.7B,level_1,0.0,0.0,0.0,120.0,0.008058026260059276,0.005,0.025,0.024174078780177875,0.015,0.075,0.561569614389597,0.7083333333333333,0.5647123015873016,0.18606463656362615,0.2770950641613702,0.2334348225881211,0.5016085452084434,0.1028365331497401,0.30222253917909175
Qwen_Qwen3-0.6B_Qwen_Qwen3-1.7B,level_3,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19465580678415112,0.13911564625850334,0.5881125598387503,0.07733672646065959,0.06411064377683391,0.37897740845141037,0.018343284864818225,0.05347060088967437,0.0359069428772463
Qwen_Qwen3-0.6B_Qwen_Qwen3-1.7B,level_5,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08911507458104599,0.06005291005291,0.3323613115279782,0.05148461502998943,0.04115569907273114,0.2642254806596595,0.03231890905247,0.0725949765865149,0.05245694281949247
Qwen_Qwen3-0.6B_Qwen_Qwen3-14B,level_1,0.0,0.0,0.0,120.0,0.04388911299730347,0.030264550264550234,0.09417989417989418,0.10365191212826184,0.0709464524426158,0.2297444111944319,0.12465697831770972,1.0,0.06542533095168274,0.06416403098232126,0.0,0.038192381819486865,0.03246327472571007,0.0311246522736984,0.0317939634997042
Qwen_Qwen3-0.6B_Qwen_Qwen3-14B,level_3,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20208724252549212,0.6997732426303855,0.1177367615579421,0.047122249541248405,0.19143567854789337,0.0303013805650011,0.04828844370363127,0.09862815408049787,0.07345829889206461
Qwen_Qwen3-0.6B_Qwen_Qwen3-32B,level_1,0.0,0.0,0.0,120.0,0.0349467303453343,0.025,0.0625,0.06052951251652805,0.0433012701892219,0.1082531754730548,0.15242604335612658,1.0,0.08418004052974626,0.0994027410316877,0.0,0.0682392982710175,0.06546229000357434,0.0414214226140831,0.05344185630882875
Qwen_Qwen3-0.6B_Qwen_Qwen3-32B,level_3,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.290717355898569,0.7293650793650793,0.1773819690371763,0.07389014549269503,0.15310429726010982,0.05332038358087884,0.10000450881308014,0.10517291623962041,0.1025887125263503
Qwen_Qwen3-0.6B_Qwen_Qwen3-32B,level_5,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23601385178743323,0.3553571428571428,0.17371877495667729,0.06528473957503765,0.0927367267361415,0.052073474244493226,0.18559121012811147,0.11266027916307908,0.14912574464559528
Qwen_Qwen3-0.6B_Qwen_Qwen3-4B,level_1,0.0,0.0,0.0,120.0,0.024174078780177837,0.015,0.075,0.0677646609438118,0.0420479275922049,0.2102396379610246,0.25014694065902093,0.9814814814814815,0.14473680026936953,0.09669090116387069,0.052378280087892394,0.06665341274246443,0.13556579412619782,0.023664799046197033,0.07961529658619743
Qwen_Qwen3-0.6B_Qwen_Qwen3-4B,level_3,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09523371683294744,0.1428571428571428,0.07143931393534296,0.014680947397535768,9.251858538542974e-18,0.0169165669987857,0.0032814987350329333,0.016047809943327333,0.009664654339180132
Qwen_Qwen3-0.6B_Qwen_Qwen3-4B,level_5,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0816776854014941,0.0809523809523809,0.08758396837653797,0.022456860519768432,0.022388391041506767,0.030378058223806903,0.010769984481775302,0.0193566813060334,0.015063332893904366
Qwen_Qwen3-0.6B_Qwen_Qwen3-8B,level_1,0.0,0.0,0.0,120.0,0.019502792021989675,0.015,0.03125,0.04620848294146107,0.035,0.0775195264839553,0.11638292241210094,1.0,0.05941770792592565,0.031018360708183375,0.0,0.017354763466019326,0.028548961180806978,0.03386465524840265,0.031206808214604802
Qwen_Qwen3-0.6B_Qwen_Qwen3-8B,level_3,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05567105531205028,0.17142857142857137,0.0327408506450247,0.0263202409180928,0.08571428571428569,0.01567209321511805,0.00350180130882885,0.028260256495477823,0.015881028902153302
Qwen_Qwen3-0.6B_Qwen_Qwen3-8B,level_5,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0540773243854648,0.09821428571428567,0.0383153034370046,0.02882446705332815,0.05357142857142853,0.021592833953881126,0.020781999945961603,0.036960618599522,0.0288713092727418
Qwen_Qwen3-1.7B_Qwen_Qwen3-1.7B,level_1,0.0,0.0,0.0,120.0,0.045697464196539195,0.036,0.075,0.0917020722571012,0.07266060555964672,0.14924537428188717,0.5097039593215393,0.5700000000000001,0.6076507936507936,0.21560578884064005,0.2691739387341166,0.3617430191739186,0.1353680327323013,0.15572306002363753,0.1455455463779694
